year,sensor,method,image_count,ndsi_threshold,nir_threshold,glacier_area_km2,rolling_mad,glacier_5_moving_avg
1984,L5,quality,4,0.4,0.2,5.934644540185783,,5.38008476563968
1985,L5,quality,5,0.4,0.2,4.75539170070059,,5.179275190350163
1986,L5,quality,7,0.4,0.2,5.450218056032667,0.3976910176987598,5.17403669596
1987,L5,quality,7,0.4,0.2,4.57684646448161,0.2971353376333168,5.0691638649119675
1988,L5,quality,6,0.4,0.2,5.15308271839935,0.2971353376333168,4.9762439314194165
1989,L5,quality,6,0.4,0.2,5.41028038494562,0.3899907526237927,4.890258246677249
1990,L5,quality,7,0.4,0.2,4.2907920332378335,0.2571976665462694,5.075888520861291
1991,L5,quality,6,0.4,0.2,5.020289632321827,0.3899907526237927,5.042080839819481
1992,L5,quality,8,0.4,0.2,5.504997835401826,0.5209535222115269,4.771558665730605
1993,L5,quality,7,0.4,0.2,4.984044313190299,0.1476621763394217,4.946990620815287
1994,L5,quality,7,0.4,0.2,4.057669514501236,0.1839074954709492,5.009464767128908
1995,L5,quality,4,0.4,0.2,5.167951808661249,0.3486160506996283,4.820251738538653
1996,L5,quality,7,0.4,0.2,5.332660363889928,0.31374048256046017,4.794285141120751
1997,L5,quality,4,0.4,0.2,4.558932692450553,0.31374048256046017,5.0873356863540256
1998,L5,quality,8,0.4,0.2,4.854211326100788,0.24313330371261266,5.109703112012773
1999,L7,quality,7,0.4,0.2,5.522922240667604,0.24313330371261266,5.127971791631579
2000,L7,quality,5,0.4,0.2,5.279788936954992,0.22016000345841835,5.228111039840782
2001,L7,quality,7,0.4,0.2,5.424003761983953,0.22016000345841835,5.240048353545496
2002,L7,quality,7,0.4,0.2,5.059628933496573,0.14286229465882538,5.175962151043056
2003,L7,quality,7,0.4,0.2,4.913897894624359,0.1457310388722144,5.03728584978329
2004,L7,quality,8,0.4,0.2,5.202491228155399,0.2885933335310398,4.872595522658789
2005,L7,quality,8,0.4,0.2,4.586407430656166,0.19210166297511577,4.742359828636739
2006,L7,quality,5,0.4,0.2,4.600552126361444,0.19210166297511577,4.787979224850358
2007,L7,quality,7,0.4,0.2,4.408450463386329,0.19210166297511577,4.717688007106361
2008,L7,quality,7,0.4,0.2,5.1419948756924505,0.2909597362570375,4.8642415963436845
2009,L7,quality,7,0.4,0.2,4.851035139435413,0.1974723921408268,5.012024624638052
2010,L7,quality,5,0.4,0.2,5.319175376842786,0.020291890990491446,5.1968717461783385
2011,L7,quality,6,0.4,0.2,5.339467267833277,0.020291890990491446,5.183712811463887
2012,L7,quality,7,0.4,0.2,5.332686071087767,0.020291890990491446,5.164873872967745
2013,L8,quality,7,0.4,0.2,5.076200202120195,0.263267065713082,4.972515705343425
2014,L8,quality,5,0.4,0.2,4.756840446954704,0.2564858689675713,4.934959821764228
2015,L8,quality,7,0.4,0.2,4.357384538721183,0.3193597551654914,5.000023487828871
2016,L8,quality,8,0.4,0.2,5.151687849937291,0.21192223924273534,4.972736569543743
2017,L8,quality,7,0.4,0.2,5.658004401410981,0.5823810719733729,4.82476310747884
2018,L8,quality,7,0.4,0.2,4.939765610694556,0.20820099300896366,4.94198357112027
2019,L8,quality,5,0.4,0.2,4.016973136630191,0.7182387907164252,4.645627698036487
2020,L8,quality,7,0.4,0.2,4.9434868569283275,0.4213778697105228,4.4184486151978515
2021,L8,quality,7,0.4,0.2,3.669908484518375,0.5051358505876138,4.087014275837978
2022,L8+L9,quality,16,0.4,0.2,4.522108987217805,0.5769456118087453,4.156927897535857
2023,L8+L9,quality,13,0.4,0.2,3.2825939138951936,,3.960288157687739
2024,L8+L9,quality,14,0.4,0.2,4.366541245119582,,4.057081382077527
